Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.57105172377192E-06,0.0438095027840726,0.0731619578065542,0,0,0,117.497925421044,2.34088041673458,-6.29818637921761E-05,4.3413462792366E-05,2.44969766237705,0.00909231854635703,3.90655578254118,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/base_link.STL,,外壳-1;底盘-agv-1;升降柱外壳-1;转接板-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_r,0,-1.38777878078145E-17,-2.77555756156289E-17,0,0,0,0.941042738950082,0.00170499901767243,-7.83036536159823E-51,-3.93685896742917E-35,0.00170499901767243,-1.70860751235549E-36,0.00311129672944552,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/wheel_r.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/wheel_r.STL,,轮-2,w-r,l-w2,w_r,continuous,-0.1793,0.050006,-0.2071,0,1.5708,0,base_link,0,0,1,,,,,,,,,,,,
wheel_l,5.55111512312578E-17,0,-5.55111512312578E-17,0,0,0,0.941042738950082,0.00170499901767243,2.08809742975953E-50,7.9632295469293E-35,0.00170499901767243,-1.70860751235549E-36,0.00311129672944551,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/wheel_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/wheel_l.STL,,轮-1,w-l,l-w1,w_l,continuous,0.1793,0.050006,-0.2071,0,1.5708,0,base_link,0,0,1,,,,,,,,,,,,
link_1,0,0,-0.151,0,0,0,14.2347501496821,0.254522077593032,1.40946576508768E-50,2.26754525837298E-33,0.254522077593032,-3.78389053889462E-34,0.0264837526534835,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_1.STL,,升降柱-1,c-1,l-1,l_1,prismatic,0,0,0.565,0,0,0,base_link,0,0,1,0,0,0,0.4,,,,,,,,
link_2,-0.00510024630745398,2.76296992984815E-05,0.154932881817414,0,0,0,4.7233153708112,0.0380107276185894,-1.54756618305936E-05,-0.00405837940180053,0.038549443771909,8.52055609807741E-06,0.00950467485106964,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_2.STL,,机械臂底座-1;侧盖-1;MiniCobo 2023-03-03-1/MC 00_默认-1,c-2,l-2,l_2,revolute,0,0,0.0745,0,0,0,link_1,0,0,1,0,0,-2.7925,2.7925,,,,,,,,
link_3,-0.00254603029394257,8.15005075233133E-09,0.0487080356229588,0,0,0,1.26800038366936,0.00113364918039248,-8.90052173790371E-10,1.06284029103091E-05,0.00139294470935827,1.94125318630103E-09,0.00124029626232309,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_3.STL,,颈部-1,c-3,l-3,l_3,revolute,0,0,0.3465,0,0,0,link_2,0,0,1,0,0,-3.1415,3.1415,,,,,,,,
link_4,-0.0356306238158379,0.00952791691571446,0.000373297154174501,0,0,0,0.508313644761176,0.00153204753149985,3.60679513574804E-05,5.3711694442417E-07,0.00139336320768411,-2.65576545273182E-06,0.000504925940668953,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_4.STL,,头部v2-1,c-4,l-4,l_4,revolute,0,0,0.052,0,1.5708,0,link_3,0,0,1,0,0,-0.0872,0.6108,,,,,,,,
Camera3_Link,5.68892124458986E-05,-2.63392011503605E-05,0.012942735535695,0,0,0,0.0875979434243871,1.06602949918824E-05,-8.5499872724357E-08,-5.78556215603231E-08,0.00010643284507406,9.93797837095644E-09,0.000107381008142404,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/Camera3_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/Camera3_Link.STL,,相机-2,cc_4,cl_4,cm3_l,fixed,-0.0552,-0.0665,-0.001,1.5708,-1.5708,0,link_4,0,0,0,,,,,,,,,,,,
link_a1,-3.33695774012988E-06,0.01341969921731,0.0944035615262806,0,0,0,1.35467577840826,0.00550912876977144,1.20738896283898E-07,1.14777545987641E-07,0.00543978937695506,-0.000691104926187318,0.00167532602217647,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_a1.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_a1.STL,,MiniCobo 2023-03-03-1/MC 01_默认-1,ac-1,al-1,l_a1,revolute,-0.104,0,0.069,3.1416,-1.5708,0,link_2,0,0,1,0,0,-6.2831,6.2831,,,,,,,,
link_a2,0.0906132048634636,-2.22194793675357E-06,-0.00610385814654299,0,0,0,1.13729489776331,0.00215024713436499,6.89652874590705E-07,0.00254427069891646,0.00820340398686843,-3.76822215916901E-07,0.00725363722798325,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_a2.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_a2.STL,,MiniCobo 2023-03-03-1/MC 02_默认-1,ac-2,al-2,l_a2,revolute,0,-0.0165,0.156,1.5708,-1.5708,0,link_a1,0,0,1,0,0,-2.1816,2.1816,,,,,,,,
link_a3,0.0420770298947195,2.39158535064732E-06,0.0309289361767082,0,0,0,0.812844084223133,0.000704737938101172,6.24089469369516E-08,0.000222718237941791,0.00221978890401713,-7.15171425850411E-09,0.00212322267683195,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_a3.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_a3.STL,,MiniCobo 2023-03-03-1/MC 03_默认-1,ac-3,al-3,l_a3,revolute,0.21,0,-0.029,0,0,0,link_a2,0,0,1,0,0,-2.2689,2.2689,,,,,,,,
link_a4,7.76750219033673E-07,-0.0259439953527544,0.0452763939930491,0,0,0,0.308874987622185,0.0004857330867221,3.08676781441872E-09,-6.18132280351744E-09,0.000466300023609142,0.000110747347383686,0.000234864988215127,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_a4.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_a4.STL,,MiniCobo 2023-03-03-1/MC 04_默认-1,ac-4,al-4,l_a4,revolute,0.1303,0,0.0185,-1.5708,0,-1.5708,link_a3,0,0,1,0,0,-6.2831,6.2831,,,,,,,,
link_a5,-0.0445513312456203,9.09136003257593E-06,0.028316574521189,0,0,0,0.691432370139663,0.000535822909069584,-1.28721964722754E-07,-0.000165202507700496,0.001676540735218,5.37033230228914E-08,0.0016074988833998,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_a5.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_a5.STL,,MiniCobo 2023-03-03-1/MC 05_默认-1,ac-5,al-5,l_a5,revolute,0,-0.01805,0.0802,1.5708,1.5708,0,link_a4,0,0,1,0,0,-2.0943,2.0943,,,,,,,,
link_a6,3.24058559211249E-05,-2.59134551063994E-05,0.015707130991251,0,0,0,0.147762234933799,6.8092530031301E-05,-3.14732636389878E-07,1.13156689588019E-07,6.64608114238396E-05,4.37366684845226E-08,0.000103936894327172,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_a6.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-1127/meshes/link_a6.STL,,MiniCobo 2023-03-03-1/MC 06_默认-1,ac-6,al-6,l_a6,revolute,-0.1233,0,0.01805,1.5708,0,-1.5708,link_a5,0,0,1,0,0,-6.2831,6.2831,,,,,,,,
